ID	LON	LAT
7344	9.5	47.6667
7346	11.8558	52.6058
7347	36.0	52.0
7349	14.5	49.5
7353	4.3	52.08
7354	14.9	56.5
7372	9.9042	47.0748
7378	7.7667	48.0333
7382	5.1145	52.0918
7384	5.55	52.0333
7387	-2.3671	54.9902
7394	21.0	52.3
7396	30.0	52.3
7404	10.0667	52.6
7411	10.8134	47.9299
7413	25.3167	54.6833
7415	9.9361	49.7878
7417	8.55	47.3667
7418	8.55	47.3667
7419	8.32213	50.3058
7424	16.6166	49.2
7430	6.25	48.6167
7461	15.0	49.0
7516	16.5	56.68
7517	15.9960089	56.3065535
7520	16.81	49.38
7521	16.81	49.38
8214	2.0	49.0
8222	13.1	55.8
8227	13.85	55.95
8230	15.7832574	56.1510312
8231	15.8	57.7
8234	15.8127	56.4606
8235	17.1	48.8
8236	15.76	49.33
8237	12.9040338	56.4487477
8238	0.4	51.15
8239	7.0	51.0
8240	12.9040338	56.4487477
8241	12.9040338	56.4487477
8242	14.1262764	55.7599276
8243	11.2547	43.7703
8244	2.3086	48.6103
8247	13.7134622	56.1035094
8249	13.7296953	56.1132251
8256	14.7427433	56.0089259
8258	13.2	55.71
8259	13.2	55.71
8264	2.8	41.6833
8283	18.37	60.25
8284	16.2815	49.4112
8285	16.2815	49.4112
8290	8.5	50.0
8297	6.08	46.5
8306	11.2	58.9
8307	18.0	59.0
8311	11.5	47.5
8312	7.5	50.5
8326	14.2786489	56.0617671
8334	13.9589922	56.0681098
8335	16.6333	57.75
8337	12.37	44.0
8343	1.5	47.5
8351	18.336	62.8622
8354	56.3167	58.0
8357	2.25	41.5
8365	16.0	49.0
8366	8.5	50.5
8369	18.336	62.8622
8376	18.0	62.69
8386	18.381	62.8698
8387	18.4473	62.8794
8419	25.3167	54.6833
8420	8.5333	50.0667
8422	15.0689	57.7133
8424	77.0	35.0
8426	18.1512	57.3089
8427	13.9707	56.0648
9057	13.9167	56.1
9058	16.3675	57.2608
9067	48.7992	38.6536
9069	48.7992	38.6536
9070	48.7992	38.6536
9075	48.6131	38.7406
9078	48.6131	38.7406
9079	48.5517	38.7833
9081	48.5517	38.7833
9084	48.5517	38.7833
9085	48.5517	38.7833
9089	48.925	38.9522
9091	48.925	38.9522
9095	48.5594	38.9786
9099	48.5594	38.9786
9100	46.2831	41.8296
9102	46.2831	41.8296
9103	46.2831	41.8296
9104	46.2831	41.8296
9105	46.2831	41.8296
9106	46.2831	41.8296
9111	46.2831	41.8296
9113	46.2831	41.8296
9114	46.2831	41.8296
9115	46.2831	41.8296
9121	43.4767	41.7942
9125	44.8203	40.1408
9128	45.3622	39.8692
9130	45.3622	39.8692
9131	45.3622	39.8692
9133	45.3622	39.8692
9134	45.3622	39.8692
9298	-3.21833	55.9681
9312	-5.1525	57.9
9314	-3.96722	57.9672
9321	18.4045	62.9147
9323	14.9986	57.6781
9332	13.3742	55.7488
9336	14.2091	55.8106
9339	14.2091	55.8106
9343	18.1896	62.806
9352	16.3675	57.2608
9353	18.1896	62.806
9363	15.8979	57.3263
9369	15.8979	57.3263
9370	14.9986	57.6781
9371	18.3175	63.016
9380	13.9905	55.4234
